Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1
5092469481,GZH7067,NY,PAS,7/10/2016,7,SUBN,TOYOT,V,
5092451658,GZH7067,NY,PAS,7/8/2016,7,SUBN,TOYOT,V,
4006265037,FZX9232,NY,PAS,8/23/2016,5,SUBN,FORD,V,
8478629828,66623ME,NY,COM,6/14/2017,47,REFG,MITSU,T,161
7868300310,37033JV,NY,COM,11/21/2016,69,DELV,INTER,T,151
5096917368,FZD8593,NY,PAS,6/13/2017,7,SUBN,ME/BE,V,
1413609545,X20DCM,NJ,PAS,8/3/2016,40,SDN,TOYOT,P,547
4628525523,326SF9,MA,PAS,12/21/2016,36,UT,BMW,V,
4627113330,HCA5464,NY,OMS,11/21/2016,36,SUBN,DODGE,V,
4006478550,VAD7274,VA,PAS,10/5/2016,5,4D,BMW,V,
1407740258,2513JMG,NY,COM,1/11/2017,78,DELV,FRUEH,P,
8009901763,13657MD,NY,COM,9/27/2016,19,DELV,KENWO,T,151
4625926610,N102911C,NY,OMT,10/27/2016,36,VAN,FORD,V,
1416492320,FGR5997,NY,PAS,9/30/2016,21,SDN,NISSA,P,5362
1413656420,T672371C,NY,PAS,2/4/2017,40,TAXI,TOYOT,P,5963
7959486440,GYF2052,NY,PAS,7/7/2016,71,4DSD,VOLKS,T,747
5093620865,AD80228,AZ,PAS,9/24/2016,7,TK,FORD,V,
8480309064,51771JW,NY,COM,1/26/2017,64,VAN,INTER,T,1785
1416638830,GLP367,NY,PAS,4/30/2017,20,SUBN,DODGE,P,1765
4630524241,HJBP29,FL,PAS,2/3/2017,36,4D,BMW,V,
8505131836,87155MA,NY,COM,5/27/2017,38,VAN,CHEVR,T,275
8472853342,HJN6543,NY,PAS,10/4/2016,71,2DSD,LINCO,T,3968
8513520615,77026MG,NY,COM,5/31/2017,14,TRAC,VOLVO,T,1571
8556155431,HFB9919,NY,PAS,5/26/2017,75,4DSD,DODGE,T,19
8483087236,76822MH,NY,COM,5/19/2017,10,DELV,HIN,T,181
8513914599,65572JU,NY,COM,6/9/2017,69,VAN,FORD,T,111
8344027755,GUP8589,NY,PAS,12/7/2016,21,SUBN,NISSA,T,6773
8040135217,GTV5924,NY,PAS,11/19/2016,38,SUBN,HONDA,T,1361
8466021980,GSC6098,NY,PAS,12/27/2016,50,4DSD,NISSA,T,
8357020770,Y56DLT,NJ,PAS,1/20/2017,21,4DSD,CHEVR,T,681
7047487591,50741JZ,NY,COM,4/13/2017,38,UTIL,GMC,T,1714
8122530205,95139JC,NY,COM,1/5/2017,48,DELV,INTER,T,111
1419707358,V97GVE,NJ,PAS,2/18/2017,21,SUBN,ME/BE,S,2883
8544889610,VVP9002,VA,PAS,6/14/2017,21,4DSD,AUDI,T,558
7067047705,HFF1432,NY,PAS,9/23/2016,71,SUBN,JEEP,T,4559
4628712840,CBE9063,NY,PAS,12/22/2016,36,4DSD,TOYOT,V,
8162054819,EW866X,NJ,PAS,1/29/2017,68,4DSD,NISSA,T,2113
8506053195,25868MB,NY,COM,1/25/2017,51,VAN,FORD,T,16135
4628491689,353XXL,FL,PAS,12/20/2016,36,UT,JEEP,V,
8534116519,CES6482,NY,PAS,6/12/2017,9,SUBN,TOYOT,T,6923
8479417420,AT459E,NJ,PAS,4/13/2017,69,DELV,FRUEH,T,3451
4629806404,GSY2361,NY,PAS,1/23/2017,36,4DSD,BMW,V,
8522218316,EFJ1721,NY,PAS,5/17/2017,37,SUBN,HONDA,T,2539
8482374059,F96FBF,NJ,PAS,4/23/2017,14,4DSD,ME/BE,T,3447
8523051284,SH3ZBAD,AL,PAS,3/11/2017,38,4DSD,DODGE,T,2667
7813745231,GEL1890,NY,PAS,9/19/2016,16,SUBN,CHRYS,T,289
4628303630,BHV3783,NY,PAS,12/12/2016,36,SUBN,FORD,V,
8431017041,76130JH,NY,COM,9/16/2016,21,DELV,FRUEH,T,3571
8263642668,HEA6308,NY,PAS,2/16/2017,71,SUBN,JEEP,T,1363
8515215408,HFB1731,NY,PAS,4/14/2017,20,SUBN,CADIL,T,121
1416527722,AHG9422,NY,PAS,1/5/2017,27,SUBN,TOYOT,P,1162
7411972721,EWL8888,NY,PAS,12/1/2016,20,SUBN,NISSA,T,
8532505170,HAZ7926,NY,PAS,4/15/2017,38,4DSD,INFIN,T,111
8558750191,GSH2040,NY,PAS,4/20/2017,46,4DSD,ACURA,T,859
8486910511,GXC5916,NY,PAS,2/13/2017,71,4DSD,HONDA,T,879
7536344478,HAL6563,NY,PAS,10/12/2016,38,SUBN,NISSA,T,5483
8190539723,DKT8358,NY,PAS,9/8/2016,21,2DSD,NISSA,T,5749
8446524806,GYG8911,NY,PAS,12/18/2016,24,SUBN,JEEP,T,2949
8063538547,26013KA,NY,COM,8/4/2016,38,VAN,FORD,T,1571
7081935680,MLU536,SC,PAS,12/14/2016,38,SUBN,FORD,T,7815
8410006650,D53AUUN,NJ,PAS,10/21/2016,9,4DSD,LEXUS,T,1773
7808333074,GWG6715,NY,PAS,11/9/2016,37,SUBN,DODGE,T,545
8034466670,83546JU,NY,COM,10/4/2016,38,VAN,FORD,T,292
7059132030,HLC5085,NY,PAS,2/6/2017,31,4DSD,NISSA,T,3449
8518670070,96170MA,NY,COM,6/5/2017,50,VAN,FRUEH,T,
8335524634,55219MA,NY,COM,10/22/2016,47,VAN,DODGE,T,3425
7005104110,GYG7508,NY,PAS,9/1/2016,21,SUBN,GMC,T,669
8558610137,FBB5153,NY,PAS,6/3/2017,38,4DSD,NISSA,T,844
8358531096,FGN4109,NY,PAS,11/14/2016,20,SUBN,CHRYS,T,2983
